NAME,lat,lng,index
庆阳,35.653067,107.653333,344
定西,35.58445,104.62,345
陇南,33.358,105.011,346
临夏州,35.6018,103.21,347
甘南州,35.0003,102.905,348
海东地区,36.4997,102.109,349
海北州,36.9639,100.905,350
黄南州,35.5102,102.02,351
海南州,36.2866,100.619,352
果洛州,34.4714,100.256,353
玉树州,33.0014,97,354
海西州,37.3753,97.3731,355
吴忠,37.973833,106.183667,356
中卫,37.322933,105.132333,357
固原,36.055,106.249667,358
吐鲁番地区,42.9484,89.17915,359
哈密地区,42.825,93.50445,360
昌吉州,44.065833,87.520367,361
博州,44.9024,82.06455,362
阿克苏地区,41.17845,80.2892,363
克州,39.7153,76.1861,364
喀什地区,39.481167,75.9678,365
和田地区,37.10825,79.9301,366
伊犁哈萨克州,43.925467,81.301533,367
塔城地区,46.7432,82.9994,368
阿勒泰地区,47.8781,88.12405,369
石河子,44.3021,86.0597,370
五家渠,44.1756,87.5475,371
攀枝花,26.567,101.723,372
厦门,24.5058,118.094,373
广州,23.1323,113.321,375
